k,precision_directed,precision_undirected
206,0.024271844660194174,0.024271844660194174
207,0.024154589371980676,0.024154589371980676
208,0.02403846153846154,0.02403846153846154
209,0.023923444976076555,0.023923444976076555
210,0.023809523809523808,0.023809523809523808
211,0.023696682464454975,0.023696682464454975
212,0.02358490566037736,0.02358490566037736
213,0.023474178403755867,0.023474178403755867
214,0.02336448598130841,0.02336448598130841
215,0.023255813953488372,0.023255813953488372
216,0.023148148148148147,0.023148148148148147
217,0.02304147465437788,0.02304147465437788
218,0.022935779816513763,0.022935779816513763
219,0.0228310502283105,0.0228310502283105
220,0.022727272727272728,0.022727272727272728
221,0.02262443438914027,0.02262443438914027
222,0.02252252252252252,0.02252252252252252
223,0.02242152466367713,0.02242152466367713
224,0.022321428571428572,0.022321428571428572
225,0.022222222222222223,0.022222222222222223
226,0.022123893805309734,0.022123893805309734
227,0.022026431718061675,0.022026431718061675
228,0.021929824561403508,0.021929824561403508
229,0.021834061135371178,0.021834061135371178
230,0.021739130434782608,0.021739130434782608
231,0.021645021645021644,0.021645021645021644
232,0.021551724137931036,0.021551724137931036
233,0.02575107296137339,0.02575107296137339
234,0.02564102564102564,0.02564102564102564
235,0.029787234042553193,0.029787234042553193
236,0.029661016949152543,0.029661016949152543
237,0.029535864978902954,0.029535864978902954
238,0.029411764705882353,0.029411764705882353
239,0.029288702928870293,0.029288702928870293
240,0.029166666666666667,0.029166666666666667
241,0.029045643153526972,0.029045643153526972
242,0.028925619834710745,0.028925619834710745
243,0.02880658436213992,0.02880658436213992
244,0.028688524590163935,0.028688524590163935
245,0.02857142857142857,0.02857142857142857
246,0.028455284552845527,0.028455284552845527
247,0.02834008097165992,0.02834008097165992
248,0.028225806451612902,0.028225806451612902
249,0.028112449799196786,0.028112449799196786
250,0.028,0.028
251,0.027888446215139442,0.027888446215139442
252,0.027777777777777776,0.027777777777777776
253,0.03162055335968379,0.03162055335968379
254,0.031496062992125984,0.031496062992125984
255,0.03137254901960784,0.03137254901960784
256,0.03125,0.03125
257,0.0311284046692607,0.0311284046692607
258,0.031007751937984496,0.031007751937984496
259,0.03088803088803089,0.03088803088803089
260,0.03076923076923077,0.03076923076923077
261,0.03065134099616858,0.03065134099616858
262,0.030534351145038167,0.030534351145038167
263,0.030418250950570342,0.030418250950570342
264,0.030303030303030304,0.030303030303030304
265,0.03018867924528302,0.03018867924528302
266,0.03007518796992481,0.03007518796992481
267,0.0299625468164794,0.0299625468164794
268,0.029850746268656716,0.029850746268656716
269,0.02973977695167286,0.02973977695167286
270,0.02962962962962963,0.02962962962962963
271,0.02952029520295203,0.02952029520295203
272,0.029411764705882353,0.029411764705882353
273,0.029304029304029304,0.029304029304029304
274,0.029197080291970802,0.029197080291970802
275,0.02909090909090909,0.02909090909090909
276,0.028985507246376812,0.028985507246376812
277,0.02888086642599278,0.02888086642599278
278,0.02877697841726619,0.02877697841726619
279,0.02867383512544803,0.02867383512544803
280,0.02857142857142857,0.02857142857142857
281,0.028469750889679714,0.028469750889679714
282,0.028368794326241134,0.028368794326241134
283,0.028268551236749116,0.028268551236749116
284,0.028169014084507043,0.028169014084507043
285,0.028070175438596492,0.028070175438596492
286,0.027972027972027972,0.027972027972027972
287,0.027874564459930314,0.027874564459930314
288,0.027777777777777776,0.027777777777777776
289,0.02768166089965398,0.02768166089965398
290,0.03103448275862069,0.03103448275862069
291,0.030927835051546393,0.030927835051546393
292,0.030821917808219176,0.030821917808219176
293,0.030716723549488054,0.030716723549488054
294,0.030612244897959183,0.030612244897959183
295,0.030508474576271188,0.030508474576271188
296,0.030405405405405407,0.030405405405405407
297,0.030303030303030304,0.030303030303030304
298,0.030201342281879196,0.030201342281879196
299,0.030100334448160536,0.030100334448160536
300,0.03,0.03
301,0.029900332225913623,0.029900332225913623
302,0.029801324503311258,0.029801324503311258
303,0.0297029702970297,0.0297029702970297
304,0.029605263157894735,0.029605263157894735
305,0.03278688524590164,0.03278688524590164
306,0.032679738562091505,0.032679738562091505
307,0.03257328990228013,0.03257328990228013
308,0.032467532467532464,0.032467532467532464
309,0.032362459546925564,0.032362459546925564
310,0.03225806451612903,0.03225806451612903
